,batch_size,input_dim,output_dim,device,t_dense,t_sparse,mem_dense,mem_sparse
0,1,1,1,cpu,0.00014712950214743615,0.0008705754764378071,8,20
1,1,1,1,cuda:0,9.451042860746384e-05,0.0002839921973645687,8,20
2,1,1,2,cpu,0.00010140389204025269,0.0003238092176616192,32,40
3,1,1,2,cuda:0,9.640306234359741e-05,0.00031353551894426347,32,40
4,1,1,10,cpu,9.28410328924656e-05,0.0002814498730003834,800,200
5,1,1,10,cuda:0,9.459415450692177e-05,0.00027186768129467965,800,200
6,1,1,20,cpu,9.090648964047432e-05,0.0002879382111132145,3200,400
7,1,1,20,cuda:0,9.366525337100029e-05,0.00023723291233181953,3200,400
8,1,2,1,cpu,9.195422753691674e-05,0.00023914650082588196,24,40
9,1,2,1,cuda:0,9.282734245061875e-05,0.00023937011137604715,24,40
10,1,2,2,cpu,0.00010251430794596672,0.0004837897606194019,96,80
11,1,2,2,cuda:0,0.00010136896744370461,0.0002486869692802429,96,80
12,1,2,10,cpu,0.00010736836120486259,0.00023501887917518616,2400,400
13,1,2,10,cuda:0,0.00010050293058156967,0.00024363035336136818,2400,400
14,1,2,20,cpu,0.00010193465277552605,0.0002416260540485382,9600,800
15,1,2,20,cuda:0,0.00011350754648447037,0.0002582692541182041,9600,800
16,1,10,1,cpu,9.620059281587601e-05,0.00024335095658898354,440,200
17,1,10,1,cuda:0,9.305067360401153e-05,0.0002448317594826221,440,200
18,1,10,2,cpu,9.955298155546188e-05,0.0002489592880010605,1760,400
19,1,10,2,cuda:0,9.212186560034752e-05,0.00024784188717603685,1760,400
20,1,10,10,cpu,0.00012100143358111382,0.00026260660961270333,44000,2000
21,1,10,10,cuda:0,0.00012702196836471557,0.00026350049301981926,44000,2000
22,1,10,20,cpu,0.0002017182298004627,0.0002755412831902504,176000,4000
23,1,10,20,cuda:0,0.0001889229752123356,0.0002494203858077526,176000,4000
24,1,20,1,cpu,8.927928283810615e-05,0.0002450273372232914,1680,400
25,1,20,1,cuda:0,9.649395942687989e-05,0.00023973323404788971,1680,400
26,1,20,2,cpu,0.00011919960379600525,0.00029536951333284376,6720,800
27,1,20,2,cuda:0,0.00013679284602403642,0.00029445448890328405,6720,800
28,1,20,10,cpu,0.00020034220069646834,0.0002776504494249821,168000,4000
29,1,20,10,cuda:0,0.0002242282032966614,0.00030116643756628036,168000,4000
30,1,20,20,cpu,0.00028619226068258283,0.0003036946058273315,672000,8000
31,1,20,20,cuda:0,0.0002844252623617649,0.0003058108501136303,672000,8000
32,2,1,1,cpu,0.0001298435963690281,0.00024441266432404516,32,40
33,2,1,1,cuda:0,0.00012527592480182648,0.0003282860852777958,32,40
34,2,1,2,cpu,9.520892053842545e-05,0.00025023752823472023,128,80
35,2,1,2,cuda:0,9.371424093842506e-05,0.00024622157216072085,128,80
36,2,1,10,cpu,9.729713201522827e-05,0.0003018996678292751,3200,400
37,2,1,10,cuda:0,0.00010027941316366195,0.0002564604394137859,3200,400
38,2,1,20,cpu,0.00010682353749871253,0.00023353127762675284,12800,800
39,2,1,20,cuda:0,0.00010050283744931222,0.00022793691605329513,12800,800
40,2,2,1,cpu,0.00010592956095933914,0.00022478699684143067,96,80
41,2,2,1,cuda:0,9.33440402150154e-05,0.0003372328355908394,96,80
42,2,2,2,cpu,0.00015126420184969903,0.0003217278979718685,384,160
43,2,2,2,cuda:0,9.881975129246711e-05,0.000251871719956398,384,160
44,2,2,10,cpu,0.00011621741577982903,0.0002408437430858612,9600,800
45,2,2,10,cuda:0,0.00010687252506613731,0.00023157568648457527,9600,800
46,2,2,20,cpu,0.0001600293442606926,0.00026398934423923495,38400,1600
47,2,2,20,cuda:0,0.00016119573265314103,0.0002685990184545517,38400,1600
48,2,10,1,cpu,0.00010030735284090042,0.00024960190057754517,1760,400
49,2,10,1,cuda:0,0.00010687950998544693,0.0002533874474465847,1760,400
50,2,10,2,cpu,0.00011540716513991356,0.00026069972664117814,7040,800
51,2,10,2,cuda:0,0.0001151767559349537,0.0002558947540819645,7040,800
52,2,10,10,cpu,0.00040610432624816896,0.0002981911413371563,176000,4000
53,2,10,10,cuda:0,0.00042822323739528657,0.00026779575273394585,176000,4000
54,2,10,20,cpu,0.0007486310787498951,0.0003125437535345554,704000,8000
55,2,10,20,cuda:0,0.0007425060495734215,0.0002946849912405014,704000,8000
56,2,20,1,cpu,0.00011090235784649849,0.0002442450262606144,6720,800
