,batch_size,input_dim,output_dim,device,t_dense,t_sparse,mem_dense,mem_sparse
0,1,1,1,cpu,5.2018556743860245e-05,3.021378070116043e-05,4,0
1,1,1,1,cuda:0,3.515854477882385e-05,2.9668863862752915e-05,4,0
2,1,1,2,cpu,3.5165436565876006e-05,3.338465467095375e-05,8,0
3,1,1,2,cuda:0,3.5842973738908766e-05,3.0576903373003e-05,8,0
4,1,1,10,cpu,3.6115385591983794e-05,2.928478643298149e-05,40,0
5,1,1,10,cuda:0,3.744224086403847e-05,3.1163636595010755e-05,40,0
6,1,1,20,cpu,4.101833328604698e-05,3.193886950612068e-05,80,0
7,1,1,20,cuda:0,3.716293722391129e-05,3.1554698944091796e-05,80,0
8,1,2,1,cpu,3.688354045152664e-05,3.131721168756485e-05,16,0
9,1,2,1,cuda:0,3.588497638702392e-05,3.397120162844658e-05,16,0
10,1,2,2,cpu,3.758203238248825e-05,3.0772481113672254e-05,32,0
11,1,2,2,cuda:0,3.590583801269531e-05,3.0241720378398895e-05,32,0
12,1,2,10,cpu,3.5808142274618146e-05,2.9920414090156554e-05,160,0
13,1,2,10,cuda:0,3.84550541639328e-05,2.9710866510868072e-05,160,0
14,1,2,20,cpu,3.270711749792099e-05,3.0227750539779662e-05,320,0
15,1,2,20,cuda:0,3.551477566361427e-05,3.0032079666852952e-05,320,0
16,1,10,1,cpu,3.575216978788376e-05,3.046514466404915e-05,400,0
17,1,10,1,cuda:0,3.60315665602684e-05,3.0521024018526075e-05,400,0
18,1,10,2,cpu,3.612246364355087e-05,3.233691677451134e-05,800,0
19,1,10,2,cuda:0,3.623412922024727e-05,3.089802339673042e-05,800,0
20,1,10,10,cpu,3.661829978227615e-05,3.2413750886917114e-05,4000,0
21,1,10,10,cuda:0,3.654845058917999e-05,3.054197877645492e-05,4000,0
22,1,10,20,cpu,3.652041777968407e-05,3.056293353438377e-05,8000,0
23,1,10,20,cuda:0,3.7023238837718965e-05,3.0807405710220334e-05,8000,0
24,1,20,1,cpu,4.0634255856275556e-05,3.0437204986810685e-05,1600,0
25,1,20,1,cuda:0,3.6059506237506865e-05,3.0255597084760667e-05,1600,0
26,1,20,2,cpu,3.572432324290275e-05,3.008805215358734e-05,3200,0
27,1,20,2,cuda:0,3.553573042154312e-05,3.4040957689285276e-05,3200,0
28,1,20,10,cpu,3.640865907073021e-05,3.023473545908928e-05,16000,0
29,1,20,10,cuda:0,3.633191809058189e-05,2.996223047375679e-05,16000,0
30,1,20,20,cpu,3.683473914861679e-05,3.008795902132988e-05,32000,0
31,1,20,20,cuda:0,3.830138593912125e-05,3.0234642326831818e-05,32000,0
32,2,1,1,cpu,3.835735842585564e-05,2.8195325285196304e-05,32,0
33,2,1,1,cuda:0,3.624800592660904e-05,3.0730664730072024e-05,32,0
34,2,1,2,cpu,3.59618104994297e-05,3.096098080277443e-05,64,0
35,2,1,2,cuda:0,3.642961382865906e-05,3.107981756329536e-05,64,0
36,2,1,10,cpu,3.636674955487251e-05,3.1002983450889585e-05,320,0
37,2,1,10,cuda:0,3.717690706253052e-05,3.176424652338028e-05,320,0
38,2,1,20,cpu,3.666011616587639e-05,3.266511484980583e-05,640,0
39,2,1,20,cuda:0,3.6220159381628035e-05,3.0416343361139297e-05,640,0
40,2,2,1,cpu,3.7344638258218765e-05,3.0136853456497193e-05,128,0
41,2,2,1,cuda:0,3.53960320353508e-05,3.138696774840355e-05,128,0
42,2,2,2,cpu,3.932807594537735e-05,2.729427069425583e-05,256,0
43,2,2,2,cuda:0,3.220420330762863e-05,3.0290521681308747e-05,256,0
44,2,2,10,cpu,3.592679277062416e-05,3.0276551842689515e-05,1280,0
45,2,2,10,cuda:0,3.541000187397003e-05,3.014393150806427e-05,1280,0
46,2,2,20,cpu,3.5954732447862624e-05,3.0513945966958998e-05,2560,0
47,2,2,20,cuda:0,3.587091341614723e-05,2.7929805219173433e-05,2560,0
48,2,10,1,cpu,3.767982125282288e-05,3.1268317252397536e-05,3200,0
49,2,10,1,cuda:0,3.666011616587639e-05,3.127530217170715e-05,3200,0
50,2,10,2,cpu,3.784047439694405e-05,3.0982028692960736e-05,6400,0
51,2,10,2,cuda:0,3.683473914861679e-05,3.1554698944091796e-05,6400,0
52,2,10,10,cpu,3.935601562261581e-05,3.105876967310905e-05,32000,0
53,2,10,10,cuda:0,3.7861429154872896e-05,3.066770732402801e-05,32000,0
54,2,10,20,cpu,3.79941426217556e-05,3.010891377925873e-05,64000,0
55,2,10,20,cuda:0,3.780564293265343e-05,3.033941611647606e-05,64000,0
56,2,20,1,cpu,3.6003626883029936e-05,3.420868888497353e-05,12800,0
57,2,20,1,cuda:0,3.647860139608383e-05,3.143595531582832e-05,12800,0
58,2,20,2,cpu,3.685569390654564e-05,3.017876297235489e-05,25600,0
59,2,20,2,cuda:0,3.669494763016701e-05,3.031855449080467e-05,25600,0
60,2,20,10,cpu,4.241513088345528e-05,3.0255597084760667e-05,128000,0
61,2,20,10,cuda:0,4.0117278695106505e-05,3.0095037072896957e-05,128000,0
62,2,20,20,cpu,5.422551184892654e-05,3.170128911733627e-05,256000,0
63,2,20,20,cuda:0,5.2179116755723955e-05,3.064684569835663e-05,256000,0
64,8,1,1,cpu,3.612227737903595e-05,3.0199810862541198e-05,2048,0
65,8,1,1,cuda:0,3.569629043340683e-05,3.084922209382057e-05,2048,0
66,8,1,2,cpu,3.740750253200531e-05,3.0067004263401032e-05,4096,0
67,8,1,2,cuda:0,3.658346831798553e-05,3.063967451453209e-05,4096,0
68,8,1,10,cpu,3.6255083978176116e-05,3.028362989425659e-05,20480,0
69,8,1,10,cuda:0,3.597568720579147e-05,3.026966005563736e-05,20480,0
70,8,1,20,cpu,3.697443753480911e-05,3.449497744441032e-05,40960,0
71,8,1,20,cuda:0,3.3608078956604005e-05,2.9103178530931472e-05,40960,0
72,8,2,1,cpu,3.6667007952928544e-05,3.082826733589172e-05,8192,0
73,8,2,1,cuda:0,3.708619624376297e-05,3.0402280390262604e-05,8192,0
74,8,2,2,cpu,3.895796835422516e-05,3.033950924873352e-05,16384,0
75,8,2,2,cuda:0,3.619920462369919e-05,2.9941275715827943e-05,16384,0
76,8,2,10,cpu,3.84550541639328e-05,3.0234642326831818e-05,81920,0
77,8,2,10,cuda:0,3.835735842585564e-05,3.15127894282341e-05,81920,0
78,8,2,20,cpu,5.254922434687615e-05,3.0730664730072024e-05,163840,0
79,8,2,20,cuda:0,4.9678701907396315e-05,3.039529547095299e-05,163840,0
80,8,10,1,cpu,5.0733424723148345e-05,3.0611734837293624e-05,204800,0
81,8,10,1,cuda:0,5.0000101327896115e-05,3.0325539410114288e-05,204800,0
82,8,10,2,cpu,5.1627308130264284e-05,3.063967451453209e-05,409600,0
83,8,10,2,cuda:0,5.197655409574509e-05,3.043022006750107e-05,409600,0
84,8,10,10,cpu,5.55175356566906e-05,3.042314201593399e-05,2048000,0
85,8,10,10,cuda:0,5.011875182390213e-05,2.8195325285196304e-05,2048000,0
86,8,10,20,cpu,5.954056978225708e-05,3.0611827969551084e-05,4096000,0
87,8,10,20,cuda:0,6.215246394276619e-05,3.0807405710220334e-05,4096000,0
88,8,20,1,cpu,5.7096034288406373e-05,3.0877254903316495e-05,819200,0
89,8,20,1,cuda:0,5.333134904503822e-05,3.295848146080971e-05,819200,0
90,8,20,2,cpu,5.417661741375923e-05,3.143586218357086e-05,1638400,0
91,8,20,2,cuda:0,5.1354896277189256e-05,4.1025318205356597e-05,1638400,0
92,8,20,10,cpu,8.995672687888146e-05,3.0290614813566207e-05,8192000,0
93,8,20,10,cuda:0,6.661545485258103e-05,3.015073016285896e-05,8192000,0
94,8,20,20,cpu,0.00011093029752373695,3.07304784655571e-05,16384000,0
95,8,20,20,cuda:0,8.911155164241791e-05,3.0947010964155196e-05,16384000,0
96,16,1,1,cpu,3.756806254386902e-05,3.1163543462753295e-05,16384,0
97,16,1,1,cuda:0,3.730272874236107e-05,3.108670935034752e-05,16384,0
98,16,1,2,cpu,3.771483898162842e-05,3.082826733589172e-05,32768,0
99,16,1,2,cuda:0,3.691157326102257e-05,3.073057159781456e-05,32768,0
100,16,1,10,cpu,5.106860771775246e-05,2.838391810655594e-05,163840,0
101,16,1,10,cuda:0,5.162023007869721e-05,2.9941275715827943e-05,163840,0
102,16,1,20,cpu,5.138292908668518e-05,3.0276644974946975e-05,327680,0
103,16,1,20,cuda:0,5.05237840116024e-05,2.7853064239025116e-05,327680,0
104,16,2,1,cpu,3.7630926817655565e-05,3.353133797645569e-05,65536,0
105,16,2,1,cuda:0,3.828750923275948e-05,3.0402280390262604e-05,65536,0
106,16,2,2,cpu,4.566283896565437e-05,2.966197207570076e-05,131072,0
107,16,2,2,cuda:0,4.477575421333313e-05,2.982262521982193e-05,131072,0
108,16,2,10,cpu,5.220705643296242e-05,2.989955246448517e-05,655360,0
109,16,2,10,cuda:0,5.147363990545273e-05,3.0255597084760667e-05,655360,0
110,16,2,20,cpu,5.4057780653238295e-05,3.0583981424570086e-05,1310720,0
111,16,2,20,cuda:0,5.206726491451264e-05,3.0346401035785676e-05,1310720,0
112,16,10,1,cpu,5.2214041352272035e-05,3.0576903373003e-05,1638400,0
113,16,10,1,cuda:0,5.166921764612198e-05,3.1428970396518706e-05,1638400,0
114,16,10,2,cpu,6.287889555096626e-05,3.120554611086845e-05,3276800,0
