,batch_size,input_dim,output_dim,device,t_dense,t_sparse,mem_dense,mem_sparse
0,1,1,1,cpu,6.24319538474083e-05,0.00029714349657297137,4,20
1,1,1,1,cuda:0,4.921071231365204e-05,0.00027017742395401,4,20
2,1,1,2,cpu,5.106860771775246e-05,0.0003121175803244114,8,40
3,1,1,2,cuda:0,5.1354896277189256e-05,0.00030774548649787904,8,40
4,1,1,10,cpu,5.0230510532855986e-05,0.0003101341426372528,40,200
5,1,1,10,cuda:0,4.575354978442192e-05,0.00029139546677470207,40,200
6,1,1,20,cpu,5.048895254731178e-05,0.0003079131245613098,80,400
7,1,1,20,cuda:0,5.126409232616425e-05,0.00031418493017554283,80,400
8,1,2,1,cpu,4.854723811149597e-05,0.00031594494357705115,8,40
9,1,2,1,cuda:0,4.911301657557487e-05,0.00029201004654169085,8,40
10,1,2,2,cpu,5.0768163055181505e-05,0.0003134655766189098,16,80
11,1,2,2,cuda:0,4.899417981505394e-05,0.0003179005347192287,16,80
12,1,2,10,cpu,5.031432956457138e-05,0.0003135563805699348,80,400
13,1,2,10,cuda:0,5.1550474017858507e-05,0.00031880149617791176,80,400
14,1,2,20,cpu,5.339421331882477e-05,0.00032924991101026537,160,800
15,1,2,20,cuda:0,5.254233255982399e-05,0.0003238581120967865,160,800
16,1,10,1,cpu,5.039814859628677e-05,0.00030514746904373167,40,200
17,1,10,1,cuda:0,5.129193887114525e-05,0.0002987776882946491,40,200
18,1,10,2,cpu,5.0698500126600264e-05,0.0003271476365625858,80,400
19,1,10,2,cuda:0,5.107559263706207e-05,0.00031472267583012583,80,400
20,1,10,10,cpu,5.131307989358902e-05,0.00033544497564435004,400,2000
21,1,10,10,cuda:0,5.376450717449188e-05,0.00033946773037314416,400,2000
22,1,10,20,cpu,4.91688959300518e-05,0.0004723494872450829,800,4000
23,1,10,20,cuda:0,4.605390131473541e-05,0.00034204497933387756,800,4000
24,1,20,1,cpu,5.226284265518189e-05,0.0003113283775746822,80,400
25,1,20,1,cuda:0,5.210218951106072e-05,0.00030770357698202134,80,400
