,batch_size,input_dim,output_dim,device,t_dense,t_sparse,mem_dense,mem_sparse
0,1,1,1,cpu,5.783624947071075e-05,4.184246063232422e-05,16,0
1,1,1,1,cuda:0,4.9301516264677046e-05,4.167491570115089e-05,16,0
2,1,1,2,cpu,4.347674548625946e-05,4.247110337018967e-05,128,0
3,1,1,2,cuda:0,4.817713052034378e-05,4.068305715918541e-05,128,0
4,1,1,10,cpu,4.872195422649384e-05,4.08717431128025e-05,16000,0
5,1,1,10,cuda:0,5.093589425086975e-05,4.023592919111252e-05,16000,0
6,1,1,20,cpu,5.916329100728035e-05,3.8916058838367465e-05,128000,0
7,1,1,20,cuda:0,5.159927532076836e-05,4.075290635228157e-05,128000,0
8,1,2,1,cpu,5.0586648285388947e-05,4.078773781657219e-05,36,0
9,1,2,1,cuda:0,4.8212055116891864e-05,4.1744671761989594e-05,36,0
10,1,2,2,cpu,4.840753972530365e-05,4.0759984403848645e-05,288,0
11,1,2,2,cuda:0,4.884758964180946e-05,4.130471497774124e-05,288,0
12,1,2,10,cpu,5.0607603043317795e-05,4.20520082116127e-05,36000,0
13,1,2,10,cuda:0,4.9378443509340284e-05,4.0690042078495024e-05,36000,0
14,1,2,20,cpu,6.625931710004806e-05,3.981711342930794e-05,288000,0
15,1,2,20,cuda:0,6.218748167157173e-05,3.878334537148476e-05,288000,0
16,1,10,1,cpu,4.853326827287674e-05,3.962833434343338e-05,484,0
17,1,10,1,cuda:0,4.161186516284943e-05,3.589186817407608e-05,484,0
18,1,10,2,cpu,4.634018987417221e-05,3.910455852746963e-05,3872,0
19,1,10,2,cuda:0,4.844954237341881e-05,3.9272289723157885e-05,3872,0
20,1,10,10,cpu,7.067332044243812e-05,3.829449415206909e-05,484000,0
21,1,10,10,cuda:0,6.46248459815979e-05,4.6493858098983766e-05,484000,0
22,1,10,20,cpu,7.968991994857788e-05,4.180064424872398e-05,3872000,0
23,1,10,20,cuda:0,6.976528093218803e-05,4.171663895249367e-05,3872000,0
24,1,20,1,cpu,5.088699981570244e-05,3.951666876673698e-05,1764,0
25,1,20,1,cuda:0,4.8840604722499845e-05,4.1584018617868423e-05,1764,0
26,1,20,2,cpu,4.9462169408798216e-05,4.191230982542038e-05,14112,0
27,1,20,2,cuda:0,4.9196742475032805e-05,4.169577732682228e-05,14112,0
28,1,20,10,cpu,6.654560565948487e-05,3.885310143232345e-05,1764000,0
29,1,20,10,cuda:0,6.576338782906532e-05,4.1206832975149155e-05,1764000,0
30,1,20,20,cpu,0.00013279085978865624,3.944691270589829e-05,14112000,0
31,1,20,20,cuda:0,0.0001043093390762806,4.112301394343376e-05,14112000,0
32,2,1,1,cpu,4.742983728647232e-05,4.0012598037719724e-05,32,0
33,2,1,1,cuda:0,4.7122500836849214e-05,3.622714430093765e-05,32,0
34,2,1,2,cpu,4.650084301829338e-05,3.9202440530061725e-05,256,0
35,2,1,2,cuda:0,4.578847438097e-05,3.9146561175584796e-05,256,0
36,2,1,10,cpu,4.620058462023735e-05,4.09834086894989e-05,32000,0
37,2,1,10,cuda:0,4.76812943816185e-05,4.03059646487236e-05,32000,0
38,2,1,20,cpu,6.512077525258064e-05,4.0689948946237564e-05,256000,0
39,2,1,20,cuda:0,5.992455407977104e-05,3.9369985461235044e-05,256000,0
40,2,2,1,cpu,4.671746864914894e-05,3.948863595724106e-05,72,0
41,2,2,1,cuda:0,4.673842340707779e-05,4.087863489985466e-05,72,0
42,2,2,2,cpu,5.0998665392398836e-05,3.9488822221755984e-05,576,0
43,2,2,2,cuda:0,4.552323371171951e-05,3.971215337514877e-05,576,0
44,2,2,10,cpu,5.1375944167375565e-05,3.853188827633858e-05,72000,0
45,2,2,10,cuda:0,4.9518141895532605e-05,4.045944660902023e-05,72000,0
46,2,2,20,cpu,6.38287514448166e-05,4.075290635228157e-05,576000,0
47,2,2,20,cuda:0,6.12376257777214e-05,4.0976423770189284e-05,576000,0
48,2,10,1,cpu,4.652198404073715e-05,3.890907391905785e-05,968,0
49,2,10,1,cuda:0,4.7387834638357165e-05,3.997068852186203e-05,968,0
50,2,10,2,cpu,4.5886263251304626e-05,3.8985908031463626e-05,7744,0
51,2,10,2,cuda:0,4.654284566640854e-05,4.0689948946237564e-05,7744,0
52,2,10,10,cpu,6.886431947350502e-05,3.821058198809624e-05,968000,0
53,2,10,10,cuda:0,6.875256076455116e-05,4.067597910761833e-05,968000,0
54,2,10,20,cpu,9.272238239645957e-05,3.746328875422478e-05,7744000,0
55,2,10,20,cuda:0,7.948037236928939e-05,4.402147606015205e-05,7744000,0
56,2,20,1,cpu,4.705963656306267e-05,4.0704011917114256e-05,3528,0
57,2,20,1,cuda:0,4.550917074084282e-05,3.9474759250879285e-05,3528,0
58,2,20,2,cpu,4.851231351494789e-05,4.106014966964722e-05,28224,0
59,2,20,2,cuda:0,4.7569442540407183e-05,3.987280651926994e-05,28224,0
60,2,20,10,cpu,8.130325004458427e-05,3.918847069144249e-05,3528000,0
61,2,20,10,cuda:0,7.578572258353234e-05,4.044556990265846e-05,3528000,0
62,2,20,20,cpu,0.0005812125280499458,4.2296387255191804e-05,28224000,0
63,2,20,20,cuda:0,0.0004960888996720314,4.426604136824608e-05,28224000,0
64,8,1,1,cpu,4.782089963555336e-05,3.839218989014626e-05,128,0
65,8,1,1,cuda:0,4.737395793199539e-05,4.0850695222616194e-05,128,0
66,8,1,2,cpu,4.520183429121971e-05,3.994973376393318e-05,1024,0
67,8,1,2,cuda:0,4.684310406446457e-05,3.997059538960457e-05,1024,0
68,8,1,10,cpu,5.2269827574491504e-05,4.023602232336998e-05,128000,0
69,8,1,10,cuda:0,5.150856450200081e-05,4.488043487071991e-05,128000,0
70,8,1,20,cpu,6.533730775117874e-05,3.932109102606773e-05,1024000,0
